Category:	0	1	2	3	4	5	6	7	8	9
Category:0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.0	
Category:1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Category:2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Category:3	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.36	0.36	
Category:4	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.0	0.43	
Category:5	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.21	0.17	0.29	
Category:6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.41	0.41	
Category:7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.56	
Category:8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	
Category:9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	

rule:	0	1	2	3	4	5	6	7	8	9
rule:0	0	0	0	0	0	0	0	0	0	0	
rule:1	0	0	0	0	0	0	0	0	0	0	
rule:2	0	0	0	0	0	0	0	0	0	0	
rule:3	0	0	0	0	0	0	1	0	0	0	
rule:4	0	0	0	0	0	0	0	0	0	0	
rule:5	0	0	0	0	0	0	0	0	0	0	
rule:6	0	0	0	0	0	0	0	0	0	0	
rule:7	0	0	0	0	0	0	0	0	0	0	
rule:8	0	0	0	0	0	0	0	0	0	0	
rule:9	0	0	0	0	0	0	0	0	0	0	
Category:	0	1	2	3	4	5	6	7	8	9
Category:0	0.0	0.0	0.0	1.0E-4	0.0	0.5	0.5001	0.0	0.0	0.0	
Category:1	0.0	0.0	0.0	1.0E-4	0.0	0.0	1.0E-4	0.0	0.0	0.0	
Category:2	0.0	0.0	0.0	1.0E-4	0.0	0.0	1.0E-4	0.0	0.0	0.0	
Category:3	0.0	0.0	0.0	1.0E-4	0.0	0.29	1.0E-4	0.0	0.36	0.36	
Category:4	0.0	0.0	0.0	1.0E-4	0.0	0.0	0.5700999999999999	0.0	0.0	0.43	
Category:5	0.0	0.0	0.0	1.0E-4	0.0	0.0	0.3301	0.21	0.17	0.29	
Category:6	0.0	0.0	0.0	1.0E-4	0.0	0.0	1.0E-4	0.18	0.41	0.41	
Category:7	0.0	0.0	0.0	1.0E-4	0.0	0.0	1.0E-4	0.0	0.44	0.56	
Category:8	0.0	0.0	0.0	1.0E-4	0.0	0.0	1.0E-4	0.0	0.0	1.0	
Category:9	0.0	0.0	0.0	1.0E-4	0.0	0.0	1.0E-4	0.0	0.0	0.0	

popularity:
0.04727227070123674	0.00565007219536694	4.3945005963965094E-4	0.4189842425764329	0.02366752464059263	0.07301148848013057	0.07646431037729927	0.03157762571410635	0.16862326574172892	0.15430974951346602	
user_preference:
0.06200317965023847	0.00794912559618442	0.00794912559618442	0.2178060413354531	0.04292527821939587	0.1891891891891892	0.12400635930047695	0.05246422893481717	0.1383147853736089	0.1573926868044515	
preference:
0.10342365733286271	0.012899780299286918	0.008334176517536835	0.5849245912077428	0.06366302069794744	0.25316264940816924	0.19100521961579742	0.08013288799771225	0.286064324623979	0.2926005674736286	
SUM:1.8762108751746633

Checked_Path : 1 -> 0 -> 3 -> 3 -> 3 -> 6 -> 7	 Probility: 1.0342365733286274E-17
Checked_Path : 1 -> 0 -> 3 -> 3 -> 5 -> 6 -> 7	 Probility: 9.900643292817616E-11
Checked_Path : 1 -> 0 -> 3 -> 3 -> 6 -> 6 -> 7	 Probility: 1.0342365733286274E-17
Checked_Path : 1 -> 0 -> 3 -> 3 -> 6 -> 7 -> 7	 Probility: 1.861625831991529E-14
Checked_Path : 1 -> 0 -> 3 -> 3 -> 6 -> 8 -> 7	 Probility: 4.2403699506473715E-14
Checked_Path : 1 -> 0 -> 3 -> 3 -> 6 -> 9 -> 7	 Probility: 4.2403699506473715E-14
Checked_Path : 1 -> 0 -> 3 -> 3 -> 8 -> 6 -> 7	 Probility: 3.723251663983058E-14
Checked_Path : 1 -> 0 -> 3 -> 3 -> 9 -> 6 -> 7	 Probility: 3.723251663983058E-14
Checked_Path : 1 -> 0 -> 3 -> 5 -> 3 -> 6 -> 7	 Probility: 2.999286062653019E-14
Checked_Path : 1 -> 0 -> 3 -> 5 -> 6 -> 6 -> 7	 Probility: 9.900643292817614E-11
Checked_Path : 1 -> 0 -> 3 -> 5 -> 6 -> 7 -> 7	 Probility: 1.7821157927071704E-7
Checked_Path : 1 -> 0 -> 3 -> 5 -> 6 -> 8 -> 7	 Probility: 4.0592637500552214E-7
Checked_Path : 1 -> 0 -> 3 -> 5 -> 6 -> 9 -> 7	 Probility: 4.0592637500552214E-7
Checked_Path : 1 -> 0 -> 3 -> 5 -> 7 -> 6 -> 7	 Probility: 6.298500731571339E-11
Checked_Path : 1 -> 0 -> 3 -> 5 -> 8 -> 6 -> 7	 Probility: 5.098786306510132E-11
Checked_Path : 1 -> 0 -> 3 -> 5 -> 9 -> 6 -> 7	 Probility: 8.697929581693754E-11
Checked_Path : 1 -> 0 -> 3 -> 6 -> 6 -> 6 -> 7	 Probility: 1.0342365733286274E-17
Checked_Path : 1 -> 0 -> 3 -> 6 -> 6 -> 7 -> 7	 Probility: 1.861625831991529E-14
Checked_Path : 1 -> 0 -> 3 -> 6 -> 6 -> 8 -> 7	 Probility: 4.2403699506473715E-14
Checked_Path : 1 -> 0 -> 3 -> 6 -> 6 -> 9 -> 7	 Probility: 4.2403699506473715E-14
Checked_Path : 1 -> 0 -> 3 -> 6 -> 7 -> 3 -> 7	 Probility: 1.861625831991529E-14
Checked_Path : 1 -> 0 -> 3 -> 6 -> 7 -> 6 -> 7	 Probility: 1.861625831991529E-14
Checked_Path : 1 -> 0 -> 3 -> 6 -> 7 -> 8 -> 7	 Probility: 8.191153660762728E-11
Checked_Path : 1 -> 0 -> 3 -> 6 -> 7 -> 9 -> 7	 Probility: 1.0425104659152564E-10
Checked_Path : 1 -> 0 -> 3 -> 6 -> 8 -> 3 -> 7	 Probility: 4.2403699506473715E-14
Checked_Path : 1 -> 0 -> 3 -> 6 -> 8 -> 6 -> 7	 Probility: 4.2403699506473715E-14
Checked_Path : 1 -> 0 -> 3 -> 6 -> 8 -> 9 -> 7	 Probility: 4.2403699506473714E-10
Checked_Path : 1 -> 0 -> 3 -> 6 -> 9 -> 3 -> 7	 Probility: 4.2403699506473715E-14
Checked_Path : 1 -> 0 -> 3 -> 6 -> 9 -> 6 -> 7	 Probility: 4.2403699506473715E-14
Checked_Path : 1 -> 0 -> 3 -> 8 -> 3 -> 6 -> 7	 Probility: 3.723251663983058E-14
