總地點數:1510
Category0:
VenueId:427d5680f964a520a8211fe3		checkinsCount:56053		lat: 40.6716389935202	lng:-73.96381202180841	Category:4bf58dd8d48988d18f941735
VenueId:4edbdcdf9a5286d9211cacd6		checkinsCount:5699		lat: 40.655237463082294	lng:-73.96229785129567	Category:4bf58dd8d48988d17b941735
VenueId:4b93ed2af964a5204f5a34e3		checkinsCount:4008		lat: 40.66083141992703	lng:-73.96527171134949	Category:4bf58dd8d48988d181941735
VenueId:4a42e2c9f964a52059a61fe3		checkinsCount:4008		lat: 40.66916374885466	lng:-73.94222485594298	Category:4bf58dd8d48988d181941735
VenueId:4b6e0ad8f964a520d0a52ce3		checkinsCount:988		lat: 40.67277580632833	lng:-73.95947960694197	Category:4bf58dd8d48988d1e2931735
VenueId:5345bf5b498eea5b672dc0ba		checkinsCount:886		lat: 40.67829662172932	lng:-73.95041617562262	Category:4bf58dd8d48988d1e5931735
VenueId:4bddff7ee75c0f47cd7bc603		checkinsCount:827		lat: 40.65535816	lng:-73.962932	Category:4bf58dd8d48988d1e5931735
VenueId:4bca074eb6c49c74ce8e8f91		checkinsCount:802		lat: 40.683250017495986	lng:-73.95631692526705	Category:52e81612bcbc57f1066b79ee
VenueId:4e63ffb71f6ef7d07b63133a		checkinsCount:781		lat: 40.670799580122086	lng:-73.95884248285984	Category:4d4b7104d754a06370d81259
VenueId:4bae2385f964a52002893be3		checkinsCount:333		lat: 40.67446218140215	lng:-73.92550820804223	Category:4bf58dd8d48988d190941735

Category1:
VenueId:4b190c9ff964a52074d723e3		checkinsCount:6240		lat: 40.65509664890871	lng:-73.94460135020307	Category:4bf58dd8d48988d1b3941735
VenueId:4c6471bb7b241b8dfb5ac4ac		checkinsCount:2932		lat: 40.687976530243375	lng:-73.96434903144836	Category:4bf58dd8d48988d198941735
VenueId:4b23c164f964a5201b5924e3		checkinsCount:2212		lat: 40.66663716875565	lng:-73.95703441657946	Category:4bf58dd8d48988d1ae941735
VenueId:4b4f9a5df964a5201a0d27e3		checkinsCount:1279		lat: 40.66418313901225	lng:-73.94069791428524	Category:4bf58dd8d48988d198941735
VenueId:4cf66a2664e3721e5d0e21c8		checkinsCount:1157		lat: 40.654474124346656	lng:-73.94605363788459	Category:4bf58dd8d48988d1a7941735
VenueId:4cb4615feb65b1f7f68b89cd		checkinsCount:1009		lat: 40.66669101205747	lng:-73.95665645599364	Category:4bf58dd8d48988d19b941735
VenueId:4c5d4dbf9b28d13aaf205970		checkinsCount:957		lat: 40.65408922638183	lng:-73.94627750734799	Category:4bf58dd8d48988d1ab941735
VenueId:50f5e2e1e4b052e41d96a7f0		checkinsCount:919		lat: 40.67492131033321	lng:-73.96688386761434	Category:4bf58dd8d48988d1ad941735
VenueId:4d4384e6befe236a9523ebe2		checkinsCount:844		lat: 40.66965758944761	lng:-73.96192476632201	Category:4bf58dd8d48988d198941735
VenueId:4c90cedb51d9b1f747f87a46		checkinsCount:802		lat: 40.66683496488295	lng:-73.95222430385623	Category:4bf58dd8d48988d1ae941735

Category2:
VenueId:4e0dec7cb3adc5405fcbe4c6		checkinsCount:978		lat: 40.67085751993316	lng:-73.96335124969482	Category:5267e4d9e4b0ec79466e48c8
VenueId:4dbc2b770437955ec02aeaa5		checkinsCount:847		lat: 40.66920793990923	lng:-73.96354337590422	Category:5267e4d9e4b0ec79466e48c7
VenueId:5276675311d282eacbde6fa9		checkinsCount:42		lat: 40.68794949529826	lng:-73.96864018539301	Category:5267e4d9e4b0ec79466e48c8

Category3:
