總地點數:3256
Category0:
VenueId:427d5680f964a520a8211fe3		checkinsCount:55980		lat: 40.6716389935202	lng:-73.96381202180841	Category:4bf58dd8d48988d18f941735
VenueId:49cfbb2df964a520c05a1fe3		checkinsCount:3980		lat: 40.67460805759389	lng:-73.94402732044595	Category:4bf58dd8d48988d181941735
VenueId:4e5eb1f2b0fb27e2bd3d5218		checkinsCount:1329		lat: 40.68113481003931	lng:-73.96295792294266	Category:4bf58dd8d48988d1f2931735
VenueId:4e92ea644901733aacd02116		checkinsCount:987		lat: 40.67425275938598	lng:-73.97072363964097	Category:507c8c4091d498d9fc8c67a9
VenueId:4bca074eb6c49c74ce8e8f91		checkinsCount:886		lat: 40.683250017495986	lng:-73.95631692526705	Category:52e81612bcbc57f1066b79ee
VenueId:4bddff7ee75c0f47cd7bc603		checkinsCount:826		lat: 40.65535816	lng:-73.962932	Category:4bf58dd8d48988d1e5931735
VenueId:4a42e2c9f964a52059a61fe3		checkinsCount:800		lat: 40.66916374885466	lng:-73.94222485594298	Category:4bf58dd8d48988d181941735
VenueId:52bf85d3498e399d44431a7f		checkinsCount:772		lat: 40.6786489733459	lng:-73.95870472602498	Category:4bf58dd8d48988d1e5931735
VenueId:4ce03806825e721e0f2d7545		checkinsCount:544		lat: 40.67976215834268	lng:-73.95310253146557	Category:4bf58dd8d48988d137941735
VenueId:4bae2385f964a52002893be3		checkinsCount:333		lat: 40.67446218140215	lng:-73.92550820804223	Category:4bf58dd8d48988d190941735

Category1:
VenueId:4b190c9ff964a52074d723e3		checkinsCount:6232		lat: 40.65535514350383	lng:-73.94482522134682	Category:4bf58dd8d48988d1b3941735
VenueId:4c6471bb7b241b8dfb5ac4ac		checkinsCount:2928		lat: 40.687976530243375	lng:-73.96434903144836	Category:4bf58dd8d48988d198941735
VenueId:4b23c164f964a5201b5924e3		checkinsCount:2208		lat: 40.66663716875565	lng:-73.95703441657946	Category:4bf58dd8d48988d1ae941735
VenueId:4cf66a2664e3721e5d0e21c8		checkinsCount:1157		lat: 40.654474124346656	lng:-73.94605363788459	Category:4bf58dd8d48988d1a7941735
VenueId:4b4f9a5df964a5201a0d27e3		checkinsCount:1055		lat: 40.668292307738064	lng:-73.93991721765822	Category:4bf58dd8d48988d198941735
VenueId:4cb4615feb65b1f7f68b89cd		checkinsCount:1008		lat: 40.66669101205747	lng:-73.95665645599364	Category:4bf58dd8d48988d19b941735
