Query No.:3
Name:"北回歸線 Tropic of Cancer"		checkinsCount:133		lat: 23.454213501339602	lng:120.4166129022434	Category:4bf58dd8d48988d12d941735
Name:"北回歸線天文廣場"		checkinsCount:57		lat: 23.45404570040799	lng:120.41629216114876	Category:4bf58dd8d48988d162941735
Name:"Lin's"		checkinsCount:354		lat: 23.45483081676314	lng:120.41847824913474	Category:4bf58dd8d48988d103941735
Name:"北回7-11"		checkinsCount:33		lat: 23.453343598316025	lng:120.4146996979531	Category:4d954b0ea243a5684a65b473
Name:"姑姑家"		checkinsCount:3		lat: 23.446579174792596	lng:120.40695374454096	Category:4bf58dd8d48988d103941735
Name:"南陽化工"		checkinsCount:5		lat: 23.449848988368263	lng:120.41728251704856	Category:4bf58dd8d48988d124941735
Name:"Chung Shan Packing"		checkinsCount:1		lat: 23.446653	lng:120.42256	Category:4eb1bea83b7b6f98df247e06
Name:"湯姆熊歡樂世界 嘉義文化店"		checkinsCount:1		lat: 23.451317041678198	lng:120.4172993980492	Category:4bf58dd8d48988d10b951735
Name:"劉厝里"		checkinsCount:0		lat: 23.455833	lng:120.416883	Category:4f2a25ac4b909258e854f55f
Query No.:4
Name:"臺中榮總嘉義分院"		checkinsCount:41		lat: 23.465724610764198	lng:120.42334828115979	Category:4bf58dd8d48988d196941735
Name:"馨園日本料理"		checkinsCount:5		lat: 23.463964238587312	lng:120.4235002029464	Category:4bf58dd8d48988d111941735
Name:"小園日本料理"		checkinsCount:6		lat: 23.46418344570172	lng:120.4243329562287	Category:4bf58dd8d48988d111941735
Name:"柏林家具"		checkinsCount:2		lat: 23.462755	lng:120.422908	Category:4bf58dd8d48988d1f8941735
Name:"二二八國家紀念公園 National 228 Memorial Park"		checkinsCount:4		lat: 23.465802920088922	lng:120.4149022738666	Category:4bf58dd8d48988d15f941735
Name:"海咪咪投幣式卡拉OK"		checkinsCount:2		lat: 23.461015	lng:120.421323	Category:4bf58dd8d48988d120941735
Name:"中國信託商業銀行 博愛分行"		checkinsCount:0		lat: 23.465444564819336	lng:120.42575073242188	Category:4bf58dd8d48988d10a951735
Query No.:5
Name:"芳汎驗車"		checkinsCount:2		lat: 23.453624	lng:120.439914	Category:4eb1c1623b7b52c0e1adc2ec
Name:"民生社區"		checkinsCount:2		lat: 23.447521	lng:120.43444	Category:50aa9e094b90af0d42d5de0d
Name:"水得寺"		checkinsCount:1		lat: 23.454611	lng:120.437902	Category:4bf58dd8d48988d130941735
Query No.:7
Name:"晉仕瓷磚"		checkinsCount:5		lat: 23.458693	lng:120.42881	Category:4bf58dd8d48988d1f8941735
Query No.:8
