總地點數:1587
Category0:
VenueId:427d5680f964a520a8211fe3		checkinsCount:56067		lat: 40.6716389935202	lng:-73.96381202180841	Category:4bf58dd8d48988d18f941735
VenueId:49d8307ef964a520b15d1fe3		checkinsCount:5700		lat: 40.665014570215	lng:-73.96446704864502	Category:4bf58dd8d48988d17b941735
VenueId:49cfbb2df964a520c05a1fe3		checkinsCount:4007		lat: 40.67460805759389	lng:-73.94402732044595	Category:4bf58dd8d48988d181941735
VenueId:4dbc72210cb691071ca3bce6		checkinsCount:1548		lat: 40.66358142556565	lng:-73.96403125201438	Category:5109983191d435c0d71c2bb1
VenueId:4e5eb1f2b0fb27e2bd3d5218		checkinsCount:1329		lat: 40.68113481003931	lng:-73.96295792294266	Category:4bf58dd8d48988d1f2931735
VenueId:4e92ea644901733aacd02116		checkinsCount:988		lat: 40.67425275938598	lng:-73.97072363964097	Category:507c8c4091d498d9fc8c67a9
VenueId:4bca074eb6c49c74ce8e8f91		checkinsCount:887		lat: 40.683250017495986	lng:-73.95631692526705	Category:52e81612bcbc57f1066b79ee
VenueId:4bddff7ee75c0f47cd7bc603		checkinsCount:827		lat: 40.65535816	lng:-73.962932	Category:4bf58dd8d48988d1e5931735
VenueId:4a42e2c9f964a52059a61fe3		checkinsCount:802		lat: 40.66916374885466	lng:-73.94222485594298	Category:4bf58dd8d48988d181941735
VenueId:52bf85d3498e399d44431a7f		checkinsCount:784		lat: 40.6786489733459	lng:-73.95870472602498	Category:4bf58dd8d48988d1e5931735

Category1:
VenueId:4ad64afcf964a5205b0621e3		checkinsCount:6910		lat: 40.69140956667794	lng:-73.96305084228516	Category:4bf58dd8d48988d1ae941735
VenueId:4b190c9ff964a52074d723e3		checkinsCount:6241		lat: 40.65509664890871	lng:-73.94460135020307	Category:4bf58dd8d48988d1b3941735
VenueId:4c6471bb7b241b8dfb5ac4ac		checkinsCount:2932		lat: 40.687976530243375	lng:-73.96434903144836	Category:4bf58dd8d48988d198941735
VenueId:4b23c164f964a5201b5924e3		checkinsCount:2212		lat: 40.66663716875565	lng:-73.95703441657946	Category:4bf58dd8d48988d1ae941735
VenueId:4b4f9a5df964a5201a0d27e3		checkinsCount:1280		lat: 40.66418313901225	lng:-73.94069791428524	Category:4bf58dd8d48988d198941735
VenueId:4cf66a2664e3721e5d0e21c8		checkinsCount:1157		lat: 40.654474124346656	lng:-73.94605363788459	Category:4bf58dd8d48988d1a7941735
VenueId:4cb4615feb65b1f7f68b89cd		checkinsCount:1009		lat: 40.66669101205747	lng:-73.95665645599364	Category:4bf58dd8d48988d19b941735
VenueId:4c5d4dbf9b28d13aaf205970		checkinsCount:957		lat: 40.65408922638183	lng:-73.94627750734799	Category:4bf58dd8d48988d1ab941735
VenueId:50f5e2e1e4b052e41d96a7f0		checkinsCount:919		lat: 40.67492131033321	lng:-73.96688386761434	Category:4bf58dd8d48988d1ad941735
VenueId:4d4384e6befe236a9523ebe2		checkinsCount:844		lat: 40.66965758944761	lng:-73.96192476632201	Category:4bf58dd8d48988d198941735

Category2:
VenueId:4e0dec7cb3adc5405fcbe4c6		checkinsCount:978		lat: 40.67085751993316	lng:-73.96335124969482	Category:5267e4d9e4b0ec79466e48c8
VenueId:4dbc2b770437955ec02aeaa5		checkinsCount:847		lat: 40.66920793990923	lng:-73.96354337590422	Category:5267e4d9e4b0ec79466e48c7
VenueId:5276675311d282eacbde6fa9		checkinsCount:42		lat: 40.68794949529826	lng:-73.96864018539301	Category:5267e4d9e4b0ec79466e48c8

Category3:
VenueId:3fd66200f964a52079f11ee3		checkinsCount:11509		lat: 40.67335042443954	lng:-73.95708033593266	Category:4bf58dd8d48988d1c1941735
VenueId:4d8fb0e1b46488bf0e3adda2		checkinsCount:10846		lat: 40.67455860011452	lng:-73.96323917017544	Category:4bf58dd8d48988d147941735
VenueId:4bb6daa5ef159c748ba076f7		checkinsCount:10638		lat: 40.68915478172291	lng:-73.95518615354698	Category:4bf58dd8d48988d155941735
VenueId:4b9ec1b5f964a5205dff36e3		checkinsCount:10638		lat: 40.68915478172291	lng:-73.95518615354698	Category:4bf58dd8d48988d155941735
VenueId:4a623b9df964a52076c31fe3		checkinsCount:9698		lat: 40.679406	lng:-73.968334	Category:4bf58dd8d48988d14e941735
VenueId:5089e16ee4b0b2a614e71055		checkinsCount:8415		lat: 40.680114177908685	lng:-73.96805474791232	Category:4bf58dd8d48988d1d1941735
VenueId:4addbdd4f964a520926521e3		checkinsCount:7588		lat: 40.67225	lng:-73.957449	Category:4bf58dd8d48988d1e0931735
VenueId:4dc16497d16455f8322791bb		checkinsCount:7585		lat: 40.67214723706506	lng:-73.95733289218009	Category:4bf58dd8d48988d1ca941735
VenueId:4a2407e6f964a520ef7d1fe3		checkinsCount:7040		lat: 40.677492	lng:-73.963759	Category:4bf58dd8d48988d1e0931735
