StartLatLng:40.64157252400391,-74.00510787963867
EndLatLng:40.6726965597354,-73.92494201660156
總地點數:1637
Category0:
VenueId:427d5680f964a520a8211fe3		checkinsCount:55976		lat: 40.6716389935202	lng:-73.96381202180841	Category:4bf58dd8d48988d18f941735
VenueId:485e640df964a520d7501fe3		checkinsCount:25047		lat: 40.6634023	lng:-73.976447	Category:4bf58dd8d48988d1f2931735
VenueId:45bca695f964a520ff411fe3		checkinsCount:9593		lat: 40.661554974247885	lng:-73.97992385801638	Category:4bf58dd8d48988d17f941735
VenueId:49d8307ef964a520b15d1fe3		checkinsCount:5760		lat: 40.665014570215	lng:-73.96446704864502	Category:4bf58dd8d48988d17b941735
VenueId:4a3c2132f964a52022a11fe3		checkinsCount:2040		lat: 40.66715574677851	lng:-73.99066167203445	Category:4bf58dd8d48988d135941735
VenueId:4dbc72210cb691071ca3bce6		checkinsCount:1548		lat: 40.66358142556565	lng:-73.96403125201438	Category:5109983191d435c0d71c2bb1
VenueId:4e9e45525c5c9252b61ab088		checkinsCount:1128		lat: 40.661717	lng:-73.997411	Category:4bf58dd8d48988d17e941735
VenueId:4ae73a30f964a52091a921e3		checkinsCount:951		lat: 40.668889528495924	lng:-73.99633163823277	Category:4bf58dd8d48988d1e5931735
VenueId:4c1ac2e955e4c9b6cb554823		checkinsCount:885		lat: 40.669881018006315	lng:-73.98564577102661	Category:4bf58dd8d48988d1f2931735
VenueId:4bddff7ee75c0f47cd7bc603		checkinsCount:830		lat: 40.65535816	lng:-73.962932	Category:4bf58dd8d48988d1e5931735

Category1:
VenueId:4b190c9ff964a52074d723e3		checkinsCount:6359		lat: 40.65509664890871	lng:-73.94460135020307	Category:4bf58dd8d48988d1b3941735
VenueId:4aba51b9f964a520dc8020e3		checkinsCount:2629		lat: 40.67165510760805	lng:-73.97787493916879	Category:4bf58dd8d48988d198941735
VenueId:4b23c164f964a5201b5924e3		checkinsCount:2234		lat: 40.66663716875565	lng:-73.95703441657946	Category:4bf58dd8d48988d1ae941735
VenueId:4c13e901a9c220a10ba6569d		checkinsCount:2115		lat: 40.660985992629186	lng:-73.98625987220174	Category:4bf58dd8d48988d198941735
VenueId:4cf66a2664e3721e5d0e21c8		checkinsCount:1161		lat: 40.654474124346656	lng:-73.94605363788459	Category:4bf58dd8d48988d1a7941735
VenueId:4b4f9a5df964a5201a0d27e3		checkinsCount:1107		lat: 40.66423893983494	lng:-73.93984833251064	Category:4bf58dd8d48988d198941735
VenueId:4cb4615feb65b1f7f68b89cd		checkinsCount:1037		lat: 40.66669101205747	lng:-73.95665645599364	Category:4bf58dd8d48988d19b941735
VenueId:4c5d4dbf9b28d13aaf205970		checkinsCount:960		lat: 40.65408922638183	lng:-73.94627750734799	Category:4bf58dd8d48988d1ab941735
VenueId:4d4384e6befe236a9523ebe2		checkinsCount:845		lat: 40.66965758944761	lng:-73.96192476632201	Category:4bf58dd8d48988d198941735
VenueId:4c90cedb51d9b1f747f87a46		checkinsCount:834		lat: 40.66683496488295	lng:-73.95222430385623	Category:4bf58dd8d48988d1ae941735

Category2:
VenueId:4e0dec7cb3adc5405fcbe4c6		checkinsCount:1046		lat: 40.67085751993316	lng:-73.96335124969482	Category:5267e4d9e4b0ec79466e48c8
VenueId:54fe7d2b498e7a31395c5001		checkinsCount:1		lat: 40.6717414855957	lng:-73.95188903808594	Category:5267e4d9e4b0ec79466e48c6

Category3:
VenueId:4a11d75df964a52050771fe3		checkinsCount:10977		lat: 40.671978	lng:-73.977465	Category:4bf58dd8d48988d1e0931735
VenueId:4bbfa8ba461576b08ef27832		checkinsCount:9314		lat: 40.665610864239476	lng:-73.98264423752961	Category:4bf58dd8d48988d1d0941735
VenueId:4e5554b118a8e7aa2cd8bc59		checkinsCount:9128		lat: 40.66530754367275	lng:-73.98940086364746	Category:4bf58dd8d48988d142941735
VenueId:4a4512f4f964a520bba71fe3		checkinsCount:8712		lat: 40.66524243857114	lng:-73.98293137550354	Category:4bf58dd8d48988d1e0931735
VenueId:4e14d383d4c0e3d78b279017		checkinsCount:7923		lat: 40.67214723706506	lng:-73.95733289218009	Category:4bf58dd8d48988d1ca941735
VenueId:4addbdd4f964a520926521e3		checkinsCount:7754		lat: 40.67225	lng:-73.957449	Category:4bf58dd8d48988d1e0931735
VenueId:51e88628498e357b8f4779e2		checkinsCount:7682		lat: 40.6723059714534	lng:-73.99008750915527	Category:4bf58dd8d48988d1c9941735
VenueId:4a50d88bf964a5202bb01fe3		checkinsCount:7265		lat: 40.660089	lng:-73.980953	Category:4bf58dd8d48988d179941735
VenueId:4be5e6c62468c9281bbd0043		checkinsCount:6954		lat: 40.663289	lng:-73.984549	Category:4bf58dd8d48988d155941735
VenueId:4ec7fa185c5ce271be2b2bfa		checkinsCount:6571		lat: 40.66843964400898	lng:-73.98016490585705	Category:4bf58dd8d48988d110941735

Category4:
VenueId:481a14a5f964a520734f1fe3		checkinsCount:16280		lat: 40.67231777010979	lng:-73.95780356430502	Category:4bf58dd8d48988d117941735
VenueId:4a7c3df8f964a5200bec1fe3		checkinsCount:14744		lat: 40.660536	lng:-73.9803324	Category:4bf58dd8d48988d116941735
VenueId:4e613df262e13e3bce1f28e0		checkinsCount:10107		lat: 40.65946654883737	lng:-73.98791845009258	Category:4bf58dd8d48988d117941735
VenueId:488f2318f964a5205b511fe3		checkinsCount:9871		lat: 40.668714309505226	lng:-73.98515223262113	Category:4bf58dd8d48988d11d941735
VenueId:4116be80f964a520020c1fe3		checkinsCount:8029		lat: 40.66734922975621	lng:-73.98773480203505	Category:4bf58dd8d48988d116941735
VenueId:4a1099f5f964a520e5761fe3		checkinsCount:6931		lat: 40.66503528333333	lng:-73.98982658333334	Category:4bf58dd8d48988d11d941735
VenueId:4fe50f3de4b0c836715cae01		checkinsCount:6565		lat: 40.669458969454624	lng:-73.9867362126474	Category:4bf58dd8d48988d116941735
VenueId:4af5e676f964a52089fe21e3		checkinsCount:5783		lat: 40.663164	lng:-73.99130693333333	Category:4bf58dd8d48988d116941735
VenueId:4d35113b62a22d432a40049b		checkinsCount:5385		lat: 40.66336832182562	lng:-73.99132164635607	Category:4bf58dd8d48988d11b941735
VenueId:49eb18e4f964a520a5661fe3		checkinsCount:5110		lat: 40.66543225851896	lng:-73.98278771639265	Category:4bf58dd8d48988d123941735

Category5:
VenueId:4c97edbdf419a09395806b88		checkinsCount:79561		lat: 40.65016889724004	lng:-73.94957542419434	Category:5345731ebcbc57f1066c39b2
VenueId:4c5999242091a59385425dd0		checkinsCount:79561		lat: 40.65016889724004	lng:-73.94957542419434	Category:4bf58dd8d48988d1e7941735
VenueId:42893400f964a52052231fe3		checkinsCount:61445		lat: 40.66390776998241	lng:-73.970947265625	Category:4bf58dd8d48988d163941735
VenueId:4c391de618e72d7ff4b819f5		checkinsCount:28714		lat: 40.67001121908946	lng:-73.98583889007568	Category:4f2a25ac4b909258e854f55f
VenueId:4ba93c43f964a520e5163ae3		checkinsCount:25951		lat: 40.6721500680996	lng:-73.97009229224884	Category:4bf58dd8d48988d163941735
VenueId:42717900f964a5206f211fe3		checkinsCount:25038		lat: 40.66760245789949	lng:-73.96317958831787	Category:52e81612bcbc57f1066b7a22
VenueId:4a468cd9f964a52015a91fe3		checkinsCount:21845		lat: 40.66875802311211	lng:-73.97030353546143	Category:4bf58dd8d48988d163941735
VenueId:4c02ec6bf56c2d7f442f1c66		checkinsCount:15434		lat: 40.66911608150882	lng:-73.94283771514893	Category:4f2a25ac4b909258e854f55f
