StartLatLng:40.63258422267199,-74.00733947753906
EndLatLng:40.66800934934287,-73.93781661987305
總地點數:1695
Category0:
VenueId:485e640df964a520d7501fe3		checkinsCount:25045		lat: 40.6634023	lng:-73.976447	Category:4bf58dd8d48988d1f2931735
VenueId:45bca695f964a520ff411fe3		checkinsCount:9599		lat: 40.661554974247885	lng:-73.97992385801638	Category:4bf58dd8d48988d17f941735
VenueId:49d8307ef964a520b15d1fe3		checkinsCount:5764		lat: 40.665014570215	lng:-73.96446704864502	Category:4bf58dd8d48988d17b941735
VenueId:4a3c2132f964a52022a11fe3		checkinsCount:2042		lat: 40.66715574677851	lng:-73.99066167203445	Category:4bf58dd8d48988d135941735
VenueId:4dbc72210cb691071ca3bce6		checkinsCount:1548		lat: 40.66358142556565	lng:-73.96403125201438	Category:5109983191d435c0d71c2bb1
VenueId:4bddff7ee75c0f47cd7bc603		checkinsCount:831		lat: 40.65535816	lng:-73.962932	Category:4bf58dd8d48988d1e5931735
VenueId:4ffb5fc3e4b063a95ddbf19e		checkinsCount:328		lat: 40.661791767814904	lng:-73.9753324128819	Category:5032792091d4c4b30a586d5c
VenueId:462e89e4f964a520ed451fe3		checkinsCount:311		lat: 40.6627456055465	lng:-73.9537855946241	Category:4bf58dd8d48988d1e7931735
VenueId:4ea704af6d86f2edb667d8b7		checkinsCount:251		lat: 40.64587084902795	lng:-73.95800828933716	Category:4bf58dd8d48988d137941735
VenueId:4f64f174e4b04d4b16167108		checkinsCount:161		lat: 40.6664	lng:-73.962	Category:4bf58dd8d48988d181941735

Category1:
VenueId:4b190c9ff964a52074d723e3		checkinsCount:6362		lat: 40.65509664890871	lng:-73.94460135020307	Category:4bf58dd8d48988d1b3941735
VenueId:4b23c164f964a5201b5924e3		checkinsCount:2234		lat: 40.66663716875565	lng:-73.95703441657946	Category:4bf58dd8d48988d1ae941735
VenueId:4fcbe33c10816d5c2b5f8406		checkinsCount:2116		lat: 40.660985992629186	lng:-73.98625987220174	Category:4bf58dd8d48988d1a5941735
VenueId:4cf66a2664e3721e5d0e21c8		checkinsCount:1161		lat: 40.654474124346656	lng:-73.94605363788459	Category:4bf58dd8d48988d1a7941735
VenueId:4b4f9a5df964a5201a0d27e3		checkinsCount:1109		lat: 40.66423893983494	lng:-73.93984833251064	Category:4bf58dd8d48988d198941735
VenueId:4ca182ed03133704c63284d5		checkinsCount:1104		lat: 40.635739053233856	lng:-73.95210950256656	Category:4bf58dd8d48988d1a3941735
VenueId:4cb4615feb65b1f7f68b89cd		checkinsCount:1037		lat: 40.66669101205747	lng:-73.95665645599364	Category:4bf58dd8d48988d19b941735
VenueId:52f0008c11d2024d1635b44c		checkinsCount:969		lat: 40.660819394547445	lng:-73.98714942267917	Category:4bf58dd8d48988d1ab941735
VenueId:4c5d4dbf9b28d13aaf205970		checkinsCount:960		lat: 40.65408922638183	lng:-73.94627750734799	Category:4bf58dd8d48988d1ab941735
VenueId:4c90cedb51d9b1f747f87a46		checkinsCount:834		lat: 40.66683496488295	lng:-73.95222430385623	Category:4bf58dd8d48988d1ae941735

Category2:

Category3:
VenueId:4d99d71ff9574eb9e7804294		checkinsCount:10595		lat: 40.665610864239476	lng:-73.98264423752961	Category:4bf58dd8d48988d16f941735
VenueId:4e5554b118a8e7aa2cd8bc59		checkinsCount:9135		lat: 40.66530754367275	lng:-73.98940086364746	Category:4bf58dd8d48988d142941735
VenueId:4a4512f4f964a520bba71fe3		checkinsCount:8718		lat: 40.66524243857114	lng:-73.98293137550354	Category:4bf58dd8d48988d1e0931735
